iter	Logloss
0	0.6796578587
1	0.6650507616
2	0.6440191812
3	0.6240812833
4	0.6103181213
5	0.5985169527
6	0.5865953572
7	0.5702701537
8	0.5533815121
9	0.5436171221
10	0.5316316133
11	0.5232318378
12	0.5079176349
13	0.4941628999
14	0.4854891498
15	0.476073095
16	0.4650857842
17	0.4582781354
18	0.4458678911
19	0.4336288836
20	0.4250198296
21	0.4162872449
22	0.4069826308
23	0.3987996623
24	0.3899160971
25	0.3849474829
26	0.3803121675
27	0.3747559916
28	0.3665837473
29	0.3592605562
30	0.3512913184
31	0.3438367257
32	0.3378027749
33	0.3340297749
34	0.3269644739
35	0.3194970568
36	0.3125890379
37	0.3085102883
38	0.3033795498
39	0.2979447054
40	0.2946264374
41	0.2919018187
42	0.2887930258
43	0.2851854737
44	0.2817716376
45	0.2765228349
46	0.2731375065
47	0.2694503463
48	0.2668514699
49	0.2633264144
50	0.2602135246
51	0.2572297527
52	0.2528803542
53	0.2493690774
54	0.2463146524
55	0.244063405
56	0.2409681423
57	0.2390449851
58	0.2371939061
59	0.2345411681
60	0.2309859418
61	0.2284069744
62	0.2249646123
63	0.2231009612
64	0.2216564982
65	0.2200462678
66	0.2182394388
67	0.2162696883
68	0.2132784723
69	0.2104133269
70	0.2083302706
71	0.2063522287
72	0.2051245901
73	0.202080178
74	0.2004514165
75	0.1991218579
76	0.1965552384
77	0.1950629251
78	0.1925717646
79	0.190947909
80	0.1895586617
81	0.1881265041
82	0.1867100198
83	0.1850954117
84	0.183049573
85	0.1811619252
86	0.1800757986
87	0.1786770807
88	0.1775382345
89	0.1763688249
90	0.1742571478
91	0.173186638
92	0.1714317172
93	0.1705994321
94	0.1688309494
95	0.1670018931
96	0.1658723497
97	0.164508688
98	0.1636142074
99	0.1618516895
100	0.1601930963
101	0.1592018904
102	0.1584361258
103	0.1575463916
104	0.156659708
105	0.1551853424
106	0.1539214618
107	0.1531444536
108	0.1520507637
109	0.1510880576
110	0.1502680902
111	0.1496808105
112	0.1488143261
113	0.1476705519
114	0.1466846149
115	0.1455287329
116	0.1448856398
117	0.1441230536
118	0.1434076327
119	0.1423293871
120	0.1415369367
121	0.1410516259
122	0.1402995442
123	0.1395535648
124	0.1388382382
125	0.1380753896
126	0.1378848837
127	0.1375026689
128	0.1365703758
129	0.1359300829
130	0.135028751
131	0.133922431
132	0.1329456902
133	0.1323403565
134	0.1317147514
135	0.1312838278
136	0.1307255819
137	0.1302437064
138	0.1296053482
139	0.1289750125
140	0.1282889646
141	0.1280629216
142	0.1274146182
143	0.1267199155
144	0.1262295299
145	0.1252106782
146	0.1247393871
147	0.1244034653
148	0.1239781637
149	0.1235845206
150	0.1230937565
151	0.1225327039
152	0.121928544
153	0.1212942865
154	0.1206609637
155	0.119807536
156	0.119297942
157	0.118542576
158	0.1179110203
159	0.1173783299
160	0.1169722538
161	0.1166825642
162	0.1163454416
163	0.1158368895
164	0.1153757087
165	0.1147279879
166	0.114383019
167	0.1138111206
168	0.1133618667
169	0.1131155605
170	0.1129468474
171	0.1127716194
172	0.1122652882
173	0.1116261627
174	0.1112749442
175	0.1106625158
176	0.110226938
177	0.1099139333
178	0.1095208944
179	0.1093661317
180	0.1091117758
181	0.1086411438
182	0.1081379086
183	0.1076638158
184	0.1074667295
185	0.1072805159
186	0.1069601598
187	0.1065448744
188	0.106101894
189	0.1057600603
190	0.1055663324
191	0.1053045351
192	0.1048888384
193	0.1044753859
194	0.1040905487
195	0.103754296
196	0.103393108
197	0.1030803608
198	0.1028166922
199	0.1024956732
200	0.1021364214
201	0.1018440607
202	0.1017204873
203	0.1012989063
204	0.1008213628
